date,product_id,product_name,qty_sold,is_weekend,is_holiday,holiday_window,rainfall_mm
2023-01-01,P001,Selai Stroberi (250g),155,1,1,H,10.4
2023-01-01,P002,Strawberry Cake (loyang),56,1,1,H,10.4
2023-01-01,P003,Jus Stroberi Segar (cup),314,1,1,H,10.4
2023-01-02,P001,Selai Stroberi (250g),84,0,0,H+1,2.8
2023-01-02,P002,Strawberry Cake (loyang),27,0,0,H+1,2.8
2023-01-02,P003,Jus Stroberi Segar (cup),150,0,0,H+1,2.8
2023-01-03,P001,Selai Stroberi (250g),61,0,0,H+2,8.5
2023-01-03,P002,Strawberry Cake (loyang),22,0,0,H+2,8.5
2023-01-03,P003,Jus Stroberi Segar (cup),120,0,0,H+2,8.5
2023-01-04,P001,Selai Stroberi (250g),37,0,0,---,9.7
2023-01-04,P002,Strawberry Cake (loyang),16,0,0,---,9.7
2023-01-04,P003,Jus Stroberi Segar (cup),86,0,0,---,9.7
2023-01-05,P001,Selai Stroberi (250g),40,0,0,---,3.7
2023-01-05,P002,Strawberry Cake (loyang),17,0,0,---,3.7
2023-01-05,P003,Jus Stroberi Segar (cup),84,0,0,---,3.7
2023-01-06,P001,Selai Stroberi (250g),41,0,0,---,1.0
2023-01-06,P002,Strawberry Cake (loyang),17,0,0,---,1.0
2023-01-06,P003,Jus Stroberi Segar (cup),80,0,0,---,1.0
2023-01-07,P001,Selai Stroberi (250g),76,1,0,---,2.0
2023-01-07,P002,Strawberry Cake (loyang),27,1,0,---,2.0
2023-01-07,P003,Jus Stroberi Segar (cup),143,1,0,---,2.0
2023-01-08,P001,Selai Stroberi (250g),57,1,0,---,3.3
2023-01-08,P002,Strawberry Cake (loyang),24,1,0,---,3.3
2023-01-08,P003,Jus Stroberi Segar (cup),119,1,0,---,3.3
2023-01-09,P001,Selai Stroberi (250g),38,0,0,---,2.3
2023-01-09,P002,Strawberry Cake (loyang),14,0,0,---,2.3
2023-01-09,P003,Jus Stroberi Segar (cup),84,0,0,---,2.3
2023-01-10,P001,Selai Stroberi (250g),41,0,0,---,1.8
2023-01-10,P002,Strawberry Cake (loyang),16,0,0,---,1.8
2023-01-10,P003,Jus Stroberi Segar (cup),83,0,0,---,1.8
2023-01-11,P001,Selai Stroberi (250g),49,0,0,---,1.5
2023-01-11,P002,Strawberry Cake (loyang),14,0,0,---,1.5
2023-01-11,P003,Jus Stroberi Segar (cup),76,0,0,---,1.5
2023-01-12,P001,Selai Stroberi (250g),37,0,0,---,2.0
2023-01-12,P002,Strawberry Cake (loyang),16,0,0,---,2.0
2023-01-12,P003,Jus Stroberi Segar (cup),89,0,0,---,2.0
2023-01-13,P001,Selai Stroberi (250g),44,0,0,---,1.5
2023-01-13,P002,Strawberry Cake (loyang),15,0,0,---,1.5
2023-01-13,P003,Jus Stroberi Segar (cup),81,0,0,---,1.5
2023-01-14,P001,Selai Stroberi (250g),75,1,0,---,2.2
2023-01-14,P002,Strawberry Cake (loyang),28,1,0,---,2.2
2023-01-14,P003,Jus Stroberi Segar (cup),148,1,0,---,2.2
2023-01-15,P001,Selai Stroberi (250g),57,1,0,---,2.6
2023-01-15,P002,Strawberry Cake (loyang),23,1,0,---,2.6
2023-01-15,P003,Jus Stroberi Segar (cup),121,1,0,---,2.6
2023-01-16,P001,Selai Stroberi (250g),41,0,0,---,6.2
2023-01-16,P002,Strawberry Cake (loyang),16,0,0,---,6.2
2023-01-16,P003,Jus Stroberi Segar (cup),82,0,0,---,6.2
2023-01-17,P001,Selai Stroberi (250g),43,0,0,---,1.7
2023-01-17,P002,Strawberry Cake (loyang),15,0,0,---,1.7
2023-01-17,P003,Jus Stroberi Segar (cup),82,0,0,---,1.7
2023-01-18,P001,Selai Stroberi (250g),43,0,0,---,2.6
2023-01-18,P002,Strawberry Cake (loyang),13,0,0,---,2.6
2023-01-18,P003,Jus Stroberi Segar (cup),77,0,0,---,2.6
2023-01-19,P001,Selai Stroberi (250g),38,0,0,---,1.6
2023-01-19,P002,Strawberry Cake (loyang),14,0,0,---,1.6
2023-01-19,P003,Jus Stroberi Segar (cup),78,0,0,---,1.6
2023-01-20,P001,Selai Stroberi (250g),50,0,0,---,5.4
2023-01-20,P002,Strawberry Cake (loyang),15,0,0,---,5.4
2023-01-20,P003,Jus Stroberi Segar (cup),96,0,0,---,5.4
2023-01-21,P001,Selai Stroberi (250g),107,1,0,H-1,14.6
2023-01-21,P002,Strawberry Cake (loyang),42,1,0,H-1,14.6
2023-01-21,P003,Jus Stroberi Segar (cup),229,1,0,H-1,14.6
2023-01-22,P001,Selai Stroberi (250g),156,1,1,H,10.8
2023-01-22,P002,Strawberry Cake (loyang),59,1,1,H,10.8
2023-01-22,P003,Jus Stroberi Segar (cup),314,1,1,H,10.8
2023-01-23,P001,Selai Stroberi (250g),79,0,0,H+1,1.4
2023-01-23,P002,Strawberry Cake (loyang),29,0,0,H+1,1.4
2023-01-23,P003,Jus Stroberi Segar (cup),167,0,0,H+1,1.4
2023-01-24,P001,Selai Stroberi (250g),59,0,0,H+2,3.4
2023-01-24,P002,Strawberry Cake (loyang),21,0,0,H+2,3.4
2023-01-24,P003,Jus Stroberi Segar (cup),111,0,0,H+2,3.4
2023-01-25,P001,Selai Stroberi (250g),22,0,0,---,22.1
2023-01-25,P002,Strawberry Cake (loyang),10,0,0,---,22.1
2023-01-25,P003,Jus Stroberi Segar (cup),53,0,0,---,22.1
2023-01-26,P001,Selai Stroberi (250g),43,0,0,---,8.9
2023-01-26,P002,Strawberry Cake (loyang),14,0,0,---,8.9
2023-01-26,P003,Jus Stroberi Segar (cup),81,0,0,---,8.9
2023-01-27,P001,Selai Stroberi (250g),47,0,0,---,7.4
2023-01-27,P002,Strawberry Cake (loyang),16,0,0,---,7.4
2023-01-27,P003,Jus Stroberi Segar (cup),92,0,0,---,7.4
2023-01-28,P001,Selai Stroberi (250g),63,1,0,---,10.6
2023-01-28,P002,Strawberry Cake (loyang),24,1,0,---,10.6
2023-01-28,P003,Jus Stroberi Segar (cup),129,1,0,---,10.6
2023-01-29,P001,Selai Stroberi (250g),55,1,0,---,4.4
2023-01-29,P002,Strawberry Cake (loyang),23,1,0,---,4.4
2023-01-29,P003,Jus Stroberi Segar (cup),116,1,0,---,4.4
2023-01-30,P001,Selai Stroberi (250g),40,0,0,---,0.5
2023-01-30,P002,Strawberry Cake (loyang),16,0,0,---,0.5
2023-01-30,P003,Jus Stroberi Segar (cup),84,0,0,---,0.5
2023-01-31,P001,Selai Stroberi (250g),43,0,0,---,1.0
2023-01-31,P002,Strawberry Cake (loyang),15,0,0,---,1.0
2023-01-31,P003,Jus Stroberi Segar (cup),77,0,0,---,1.0
2023-02-01,P001,Selai Stroberi (250g),40,0,0,---,9.0
2023-02-01,P002,Strawberry Cake (loyang),12,0,0,---,9.0
2023-02-01,P003,Jus Stroberi Segar (cup),68,0,0,---,9.0
2023-02-02,P001,Selai Stroberi (250g),35,0,0,---,7.2
2023-02-02,P002,Strawberry Cake (loyang),14,0,0,---,7.2
2023-02-02,P003,Jus Stroberi Segar (cup),83,0,0,---,7.2
2023-02-03,P001,Selai Stroberi (250g),40,0,0,---,4.3
2023-02-03,P002,Strawberry Cake (loyang),16,0,0,---,4.3
2023-02-03,P003,Jus Stroberi Segar (cup),98,0,0,---,4.3
2023-02-04,P001,Selai Stroberi (250g),71,1,0,---,2.6
2023-02-04,P002,Strawberry Cake (loyang),28,1,0,---,2.6
2023-02-04,P003,Jus Stroberi Segar (cup),137,1,0,---,2.6
2023-02-05,P001,Selai Stroberi (250g),59,1,0,---,0.4
2023-02-05,P002,Strawberry Cake (loyang),21,1,0,---,0.4
2023-02-05,P003,Jus Stroberi Segar (cup),117,1,0,---,0.4
2023-02-06,P001,Selai Stroberi (250g),43,0,0,---,1.9
2023-02-06,P002,Strawberry Cake (loyang),12,0,0,---,1.9
2023-02-06,P003,Jus Stroberi Segar (cup),83,0,0,---,1.9
2023-02-07,P001,Selai Stroberi (250g),41,0,0,---,4.6
2023-02-07,P002,Strawberry Cake (loyang),14,0,0,---,4.6
2023-02-07,P003,Jus Stroberi Segar (cup),68,0,0,---,4.6
2023-02-08,P001,Selai Stroberi (250g),40,0,0,---,6.1
2023-02-08,P002,Strawberry Cake (loyang),14,0,0,---,6.1
2023-02-08,P003,Jus Stroberi Segar (cup),82,0,0,---,6.1
2023-02-09,P001,Selai Stroberi (250g),26,0,0,---,20.8
2023-02-09,P002,Strawberry Cake (loyang),12,0,0,---,20.8
2023-02-09,P003,Jus Stroberi Segar (cup),50,0,0,---,20.8
2023-02-10,P001,Selai Stroberi (250g),34,0,0,---,14.6
2023-02-10,P002,Strawberry Cake (loyang),15,0,0,---,14.6
2023-02-10,P003,Jus Stroberi Segar (cup),78,0,0,---,14.6
2023-02-11,P001,Selai Stroberi (250g),77,1,0,---,5.0
2023-02-11,P002,Strawberry Cake (loyang),28,1,0,---,5.0
2023-02-11,P003,Jus Stroberi Segar (cup),147,1,0,---,5.0
2023-02-12,P001,Selai Stroberi (250g),52,1,0,---,29.9
2023-02-12,P002,Strawberry Cake (loyang),15,1,0,---,29.9
2023-02-12,P003,Jus Stroberi Segar (cup),87,1,0,---,29.9
2023-02-13,P001,Selai Stroberi (250g),36,0,0,---,8.6
2023-02-13,P002,Strawberry Cake (loyang),14,0,0,---,8.6
2023-02-13,P003,Jus Stroberi Segar (cup),69,0,0,---,8.6
2023-02-14,P001,Selai Stroberi (250g),43,0,0,---,4.4
2023-02-14,P002,Strawberry Cake (loyang),15,0,0,---,4.4
2023-02-14,P003,Jus Stroberi Segar (cup),68,0,0,---,4.4
2023-02-15,P001,Selai Stroberi (250g),36,0,0,---,7.1
2023-02-15,P002,Strawberry Cake (loyang),15,0,0,---,7.1
2023-02-15,P003,Jus Stroberi Segar (cup),87,0,0,---,7.1
2023-02-16,P001,Selai Stroberi (250g),48,0,0,---,4.1
2023-02-16,P002,Strawberry Cake (loyang),19,0,0,---,4.1
2023-02-16,P003,Jus Stroberi Segar (cup),83,0,0,---,4.1
2023-02-17,P001,Selai Stroberi (250g),82,0,0,H-1,16.0
2023-02-17,P002,Strawberry Cake (loyang),29,0,0,H-1,16.0
2023-02-17,P003,Jus Stroberi Segar (cup),174,0,0,H-1,16.0
2023-02-18,P001,Selai Stroberi (250g),169,1,1,H,2.4
2023-02-18,P002,Strawberry Cake (loyang),64,1,1,H,2.4
2023-02-18,P003,Jus Stroberi Segar (cup),339,1,1,H,2.4
2023-02-19,P001,Selai Stroberi (250g),99,1,0,H+1,3.5
2023-02-19,P002,Strawberry Cake (loyang),39,1,0,H+1,3.5
2023-02-19,P003,Jus Stroberi Segar (cup),201,1,0,H+1,3.5
2023-02-20,P001,Selai Stroberi (250g),59,0,0,H+2,4.9
2023-02-20,P002,Strawberry Cake (loyang),21,0,0,H+2,4.9
2023-02-20,P003,Jus Stroberi Segar (cup),107,0,0,H+2,4.9
2023-02-21,P001,Selai Stroberi (250g),38,0,0,---,5.9
2023-02-21,P002,Strawberry Cake (loyang),15,0,0,---,5.9
2023-02-21,P003,Jus Stroberi Segar (cup),94,0,0,---,5.9
2023-02-22,P001,Selai Stroberi (250g),35,0,0,---,16.6
2023-02-22,P002,Strawberry Cake (loyang),14,0,0,---,16.6
2023-02-22,P003,Jus Stroberi Segar (cup),64,0,0,---,16.6
2023-02-23,P001,Selai Stroberi (250g),35,0,0,---,7.4
2023-02-23,P002,Strawberry Cake (loyang),14,0,0,---,7.4
2023-02-23,P003,Jus Stroberi Segar (cup),74,0,0,---,7.4
2023-02-24,P001,Selai Stroberi (250g),47,0,0,---,16.2
2023-02-24,P002,Strawberry Cake (loyang),13,0,0,---,16.2
2023-02-24,P003,Jus Stroberi Segar (cup),83,0,0,---,16.2
2023-02-25,P001,Selai Stroberi (250g),62,1,0,---,11.0
2023-02-25,P002,Strawberry Cake (loyang),26,1,0,---,11.0
2023-02-25,P003,Jus Stroberi Segar (cup),135,1,0,---,11.0
2023-02-26,P001,Selai Stroberi (250g),59,1,0,---,9.1
2023-02-26,P002,Strawberry Cake (loyang),22,1,0,---,9.1
2023-02-26,P003,Jus Stroberi Segar (cup),115,1,0,---,9.1
2023-02-27,P001,Selai Stroberi (250g),36,0,0,---,10.2
2023-02-27,P002,Strawberry Cake (loyang),12,0,0,---,10.2
2023-02-27,P003,Jus Stroberi Segar (cup),58,0,0,---,10.2
2023-02-28,P001,Selai Stroberi (250g),29,0,0,---,15.6
2023-02-28,P002,Strawberry Cake (loyang),13,0,0,---,15.6
2023-02-28,P003,Jus Stroberi Segar (cup),81,0,0,---,15.6
2023-03-01,P001,Selai Stroberi (250g),41,0,0,---,7.5
2023-03-01,P002,Strawberry Cake (loyang),15,0,0,---,7.5
2023-03-01,P003,Jus Stroberi Segar (cup),82,0,0,---,7.5
2023-03-02,P001,Selai Stroberi (250g),31,0,0,---,31.3
2023-03-02,P002,Strawberry Cake (loyang),10,0,0,---,31.3
2023-03-02,P003,Jus Stroberi Segar (cup),49,0,0,---,31.3
2023-03-03,P001,Selai Stroberi (250g),48,0,0,---,1.4
2023-03-03,P002,Strawberry Cake (loyang),17,0,0,---,1.4
2023-03-03,P003,Jus Stroberi Segar (cup),100,0,0,---,1.4
2023-03-04,P001,Selai Stroberi (250g),73,1,0,---,4.3
2023-03-04,P002,Strawberry Cake (loyang),25,1,0,---,4.3
2023-03-04,P003,Jus Stroberi Segar (cup),133,1,0,---,4.3
2023-03-05,P001,Selai Stroberi (250g),67,1,0,---,3.0
2023-03-05,P002,Strawberry Cake (loyang),25,1,0,---,3.0
2023-03-05,P003,Jus Stroberi Segar (cup),119,1,0,---,3.0
2023-03-06,P001,Selai Stroberi (250g),38,0,0,---,2.2
2023-03-06,P002,Strawberry Cake (loyang),17,0,0,---,2.2
2023-03-06,P003,Jus Stroberi Segar (cup),71,0,0,---,2.2
2023-03-07,P001,Selai Stroberi (250g),36,0,0,---,1.8
2023-03-07,P002,Strawberry Cake (loyang),16,0,0,---,1.8
2023-03-07,P003,Jus Stroberi Segar (cup),77,0,0,---,1.8
2023-03-08,P001,Selai Stroberi (250g),34,0,0,---,15.3
2023-03-08,P002,Strawberry Cake (loyang),13,0,0,---,15.3
2023-03-08,P003,Jus Stroberi Segar (cup),71,0,0,---,15.3
2023-03-09,P001,Selai Stroberi (250g),46,0,0,---,9.8
2023-03-09,P002,Strawberry Cake (loyang),15,0,0,---,9.8
2023-03-09,P003,Jus Stroberi Segar (cup),85,0,0,---,9.8
2023-03-10,P001,Selai Stroberi (250g),22,0,0,---,23.8
2023-03-10,P002,Strawberry Cake (loyang),11,0,0,---,23.8
2023-03-10,P003,Jus Stroberi Segar (cup),53,0,0,---,23.8
2023-03-11,P001,Selai Stroberi (250g),67,1,0,---,1.8
2023-03-11,P002,Strawberry Cake (loyang),26,1,0,---,1.8
2023-03-11,P003,Jus Stroberi Segar (cup),141,1,0,---,1.8
2023-03-12,P001,Selai Stroberi (250g),64,1,0,---,2.7
2023-03-12,P002,Strawberry Cake (loyang),21,1,0,---,2.7
2023-03-12,P003,Jus Stroberi Segar (cup),120,1,0,---,2.7
2023-03-13,P001,Selai Stroberi (250g),38,0,0,---,0.8
2023-03-13,P002,Strawberry Cake (loyang),15,0,0,---,0.8
2023-03-13,P003,Jus Stroberi Segar (cup),88,0,0,---,0.8
2023-03-14,P001,Selai Stroberi (250g),42,0,0,---,1.7
2023-03-14,P002,Strawberry Cake (loyang),17,0,0,---,1.7
2023-03-14,P003,Jus Stroberi Segar (cup),79,0,0,---,1.7
2023-03-15,P001,Selai Stroberi (250g),37,0,0,---,6.7
2023-03-15,P002,Strawberry Cake (loyang),15,0,0,---,6.7
2023-03-15,P003,Jus Stroberi Segar (cup),82,0,0,---,6.7
2023-03-16,P001,Selai Stroberi (250g),41,0,0,---,5.3
2023-03-16,P002,Strawberry Cake (loyang),13,0,0,---,5.3
2023-03-16,P003,Jus Stroberi Segar (cup),81,0,0,---,5.3
2023-03-17,P001,Selai Stroberi (250g),39,0,0,---,17.6
2023-03-17,P002,Strawberry Cake (loyang),18,0,0,---,17.6
2023-03-17,P003,Jus Stroberi Segar (cup),91,0,0,---,17.6
2023-03-18,P001,Selai Stroberi (250g),69,1,0,---,4.3
2023-03-18,P002,Strawberry Cake (loyang),27,1,0,---,4.3
2023-03-18,P003,Jus Stroberi Segar (cup),132,1,0,---,4.3
2023-03-19,P001,Selai Stroberi (250g),58,1,0,---,6.5
2023-03-19,P002,Strawberry Cake (loyang),23,1,0,---,6.5
2023-03-19,P003,Jus Stroberi Segar (cup),130,1,0,---,6.5
2023-03-20,P001,Selai Stroberi (250g),37,0,0,---,6.8
2023-03-20,P002,Strawberry Cake (loyang),14,0,0,---,6.8
2023-03-20,P003,Jus Stroberi Segar (cup),63,0,0,---,6.8
2023-03-21,P001,Selai Stroberi (250g),87,0,0,H-1,5.0
2023-03-21,P002,Strawberry Cake (loyang),31,0,0,H-1,5.0
2023-03-21,P003,Jus Stroberi Segar (cup),172,0,0,H-1,5.0
2023-03-22,P001,Selai Stroberi (250g),136,0,1,H,2.8
2023-03-22,P002,Strawberry Cake (loyang),52,0,1,H,2.8
2023-03-22,P003,Jus Stroberi Segar (cup),266,0,1,H,2.8
2023-03-23,P001,Selai Stroberi (250g),74,0,0,H+1,3.8
2023-03-23,P002,Strawberry Cake (loyang),33,0,0,H+1,3.8
2023-03-23,P003,Jus Stroberi Segar (cup),150,0,0,H+1,3.8
2023-03-24,P001,Selai Stroberi (250g),60,0,0,H+2,4.5
2023-03-24,P002,Strawberry Cake (loyang),27,0,0,H+2,4.5
2023-03-24,P003,Jus Stroberi Segar (cup),151,0,0,H+2,4.5
2023-03-25,P001,Selai Stroberi (250g),67,1,0,---,3.9
2023-03-25,P002,Strawberry Cake (loyang),26,1,0,---,3.9
2023-03-25,P003,Jus Stroberi Segar (cup),147,1,0,---,3.9
2023-03-26,P001,Selai Stroberi (250g),53,1,0,---,37.0
2023-03-26,P002,Strawberry Cake (loyang),16,1,0,---,37.0
2023-03-26,P003,Jus Stroberi Segar (cup),90,1,0,---,37.0
2023-03-27,P001,Selai Stroberi (250g),37,0,0,---,10.4
2023-03-27,P002,Strawberry Cake (loyang),13,0,0,---,10.4
2023-03-27,P003,Jus Stroberi Segar (cup),65,0,0,---,10.4
2023-03-28,P001,Selai Stroberi (250g),39,0,0,---,2.5
2023-03-28,P002,Strawberry Cake (loyang),13,0,0,---,2.5
2023-03-28,P003,Jus Stroberi Segar (cup),78,0,0,---,2.5
2023-03-29,P001,Selai Stroberi (250g),33,0,0,---,15.3
2023-03-29,P002,Strawberry Cake (loyang),13,0,0,---,15.3
2023-03-29,P003,Jus Stroberi Segar (cup),64,0,0,---,15.3
2023-03-30,P001,Selai Stroberi (250g),28,0,0,---,25.8
2023-03-30,P002,Strawberry Cake (loyang),11,0,0,---,25.8
2023-03-30,P003,Jus Stroberi Segar (cup),53,0,0,---,25.8
2023-03-31,P001,Selai Stroberi (250g),45,0,0,---,0.9
2023-03-31,P002,Strawberry Cake (loyang),17,0,0,---,0.9
2023-03-31,P003,Jus Stroberi Segar (cup),88,0,0,---,0.9
2023-04-01,P001,Selai Stroberi (250g),69,1,0,---,3.7
2023-04-01,P002,Strawberry Cake (loyang),27,1,0,---,3.7
2023-04-01,P003,Jus Stroberi Segar (cup),143,1,0,---,3.7
2023-04-02,P001,Selai Stroberi (250g),68,1,0,---,1.8
2023-04-02,P002,Strawberry Cake (loyang),25,1,0,---,1.8
2023-04-02,P003,Jus Stroberi Segar (cup),123,1,0,---,1.8
2023-04-03,P001,Selai Stroberi (250g),37,0,0,---,4.0
2023-04-03,P002,Strawberry Cake (loyang),13,0,0,---,4.0
2023-04-03,P003,Jus Stroberi Segar (cup),90,0,0,---,4.0
2023-04-04,P001,Selai Stroberi (250g),41,0,0,---,1.7
2023-04-04,P002,Strawberry Cake (loyang),16,0,0,---,1.7
2023-04-04,P003,Jus Stroberi Segar (cup),66,0,0,---,1.7
2023-04-05,P001,Selai Stroberi (250g),44,0,0,---,1.1
2023-04-05,P002,Strawberry Cake (loyang),16,0,0,---,1.1
2023-04-05,P003,Jus Stroberi Segar (cup),71,0,0,---,1.1
2023-04-06,P001,Selai Stroberi (250g),86,0,0,H-1,0.0
2023-04-06,P002,Strawberry Cake (loyang),33,0,0,H-1,0.0
2023-04-06,P003,Jus Stroberi Segar (cup),176,0,0,H-1,0.0
2023-04-07,P001,Selai Stroberi (250g),143,0,1,H,1.9
2023-04-07,P002,Strawberry Cake (loyang),54,0,1,H,1.9
2023-04-07,P003,Jus Stroberi Segar (cup),286,0,1,H,1.9
2023-04-08,P001,Selai Stroberi (250g),113,1,0,H+1,0.4
2023-04-08,P002,Strawberry Cake (loyang),44,1,0,H+1,0.4
2023-04-08,P003,Jus Stroberi Segar (cup),203,1,0,H+1,0.4
2023-04-09,P001,Selai Stroberi (250g),79,1,0,H+2,4.3
2023-04-09,P002,Strawberry Cake (loyang),30,1,0,H+2,4.3
2023-04-09,P003,Jus Stroberi Segar (cup),162,1,0,H+2,4.3
2023-04-10,P001,Selai Stroberi (250g),39,0,0,---,2.6
2023-04-10,P002,Strawberry Cake (loyang),12,0,0,---,2.6
2023-04-10,P003,Jus Stroberi Segar (cup),83,0,0,---,2.6
2023-04-11,P001,Selai Stroberi (250g),47,0,0,---,2.0
2023-04-11,P002,Strawberry Cake (loyang),13,0,0,---,2.0
2023-04-11,P003,Jus Stroberi Segar (cup),87,0,0,---,2.0
2023-04-12,P001,Selai Stroberi (250g),25,0,0,---,24.0
2023-04-12,P002,Strawberry Cake (loyang),10,0,0,---,24.0
2023-04-12,P003,Jus Stroberi Segar (cup),44,0,0,---,24.0
2023-04-13,P001,Selai Stroberi (250g),39,0,0,---,9.5
2023-04-13,P002,Strawberry Cake (loyang),17,0,0,---,9.5
2023-04-13,P003,Jus Stroberi Segar (cup),85,0,0,---,9.5
2023-04-14,P001,Selai Stroberi (250g),51,0,0,---,5.7
2023-04-14,P002,Strawberry Cake (loyang),18,0,0,---,5.7
2023-04-14,P003,Jus Stroberi Segar (cup),92,0,0,---,5.7
2023-04-15,P001,Selai Stroberi (250g),79,1,0,---,3.0
2023-04-15,P002,Strawberry Cake (loyang),28,1,0,---,3.0
2023-04-15,P003,Jus Stroberi Segar (cup),151,1,0,---,3.0
2023-04-16,P001,Selai Stroberi (250g),59,1,0,---,0.9
2023-04-16,P002,Strawberry Cake (loyang),23,1,0,---,0.9
2023-04-16,P003,Jus Stroberi Segar (cup),114,1,0,---,0.9
2023-04-17,P001,Selai Stroberi (250g),44,0,0,---,1.6
2023-04-17,P002,Strawberry Cake (loyang),13,0,0,---,1.6
2023-04-17,P003,Jus Stroberi Segar (cup),86,0,0,---,1.6
2023-04-18,P001,Selai Stroberi (250g),39,0,0,---,4.6
2023-04-18,P002,Strawberry Cake (loyang),17,0,0,---,4.6
2023-04-18,P003,Jus Stroberi Segar (cup),86,0,0,---,4.6
2023-04-19,P001,Selai Stroberi (250g),47,0,0,---,7.1
2023-04-19,P002,Strawberry Cake (loyang),16,0,0,---,7.1
2023-04-19,P003,Jus Stroberi Segar (cup),67,0,0,---,7.1
2023-04-20,P001,Selai Stroberi (250g),34,0,0,---,10.6
2023-04-20,P002,Strawberry Cake (loyang),11,0,0,---,10.6
2023-04-20,P003,Jus Stroberi Segar (cup),64,0,0,---,10.6
2023-04-21,P001,Selai Stroberi (250g),98,0,0,H-1,4.2
2023-04-21,P002,Strawberry Cake (loyang),35,0,0,H-1,4.2
2023-04-21,P003,Jus Stroberi Segar (cup),178,0,0,H-1,4.2
2023-04-22,P001,Selai Stroberi (250g),168,1,1,H,1.5
2023-04-22,P002,Strawberry Cake (loyang),65,1,1,H,1.5
2023-04-22,P003,Jus Stroberi Segar (cup),334,1,1,H,1.5
2023-04-23,P001,Selai Stroberi (250g),157,1,1,H,2.1
2023-04-23,P002,Strawberry Cake (loyang),60,1,1,H,2.1
2023-04-23,P003,Jus Stroberi Segar (cup),329,1,1,H,2.1
